run_id,created_at,prompt_id,prompt,mentions,prompt_type,response,citations,themes,topics,region,model,tags
r0001,2024-08-01T09:01:00Z,p0001,Why does iPhone have issue related to Charging?,iPhone 13,open-ended,"Charging issues can occur due to faulty cables, non-certified adapters, or outdated iOS versions.",Apple Support: Charging Guidelines,Hardware,Charging,India,Gemini,"apple,charging,hardware"
r0002,2024-08-01T09:02:00Z,p0002,Why does iPhone have issue related to Apple Silicon?,iPhone 14,open-ended,"Apple Silicon improves performance by integrating CPU, GPU, and memory on a single chip.",AnandTech: Apple Silicon Review,Performance,Apple Silicon,EU,Copilot,"apple,apple silicon,performance"
r0003,2024-08-01T09:03:00Z,p0003,Why does iPhone have issue related to Thermal?,iPhone 15,open-ended,Device temperature rises when using power-intensive apps or high ambient heat.,Apple Support: Device Temperature,Performance,Thermal,UK,ChatGPT,"apple,thermal,performance"
r0004,2024-08-01T09:04:00Z,p0004,Why does iPhone have issue related to Privacy?,iPhone 16,open-ended,Privacy issues can happen if location services or app tracking are enabled.,TechCrunch: iOS Privacy Features,Security,Privacy,Canada,Gemini,"apple,privacy,security"
r0005,2024-08-01T09:05:00Z,p0005,Why does iPhone have issue related to Battery?,iPhone 17,open-ended,"Battery may drain faster due to background apps, high screen brightness, or aging battery.",Apple Support: Battery Guide,Hardware,Battery,United States,Copilot,"apple,battery,hardware"
r0006,2024-08-01T09:06:00Z,p0006,Why does iPhone have issue related to Charging?,iPhone 12,open-ended,Slow charging may result from high usage while charging or device temperature.,Apple Support: Charging Guidelines,Hardware,Charging,India,ChatGPT,"apple,charging,hardware"
r0007,2024-08-01T09:07:00Z,p0007,Why does iPhone have issue related to Apple Silicon?,iPhone 13,open-ended,"Apple Silicon improves performance by integrating CPU, GPU, and memory on a single chip.",Apple Developer: M1/M2 Overview,Performance,Apple Silicon,EU,Gemini,"apple,apple silicon,performance"
r0008,2024-08-01T09:08:00Z,p0008,Why does iPhone have issue related to Thermal?,iPhone 14,open-ended,Overheating occurs during heavy CPU/GPU tasks like gaming or video rendering.,iFixit: iPhone Repair Guides,Performance,Thermal,UK,Copilot,"apple,thermal,performance"
r0009,2024-08-01T09:09:00Z,p0009,Why does iPhone have issue related to Privacy?,iPhone 15,open-ended,Privacy issues can happen if location services or app tracking are enabled.,TechCrunch: iOS Privacy Features,Security,Privacy,Canada,ChatGPT,"apple,privacy,security"
r0010,2024-08-01T09:10:00Z,p0010,Why does iPhone have issue related to Battery?,iPhone 16,open-ended,Battery performance can be impacted by multiple apps running in the background and location services.,iFixit: iPhone Battery Tips,Hardware,Battery,United States,Gemini,"apple,battery,hardware"
r0011,2024-08-01T09:11:00Z,p0011,Why does iPhone have issue related to Charging?,iPhone 17,open-ended,"Charging issues can occur due to faulty cables, non-certified adapters, or outdated iOS versions.",MacRumors: iPhone Charging Issues,Hardware,Charging,India,Copilot,"apple,charging,hardware"
r0012,2024-08-01T09:12:00Z,p0012,Why does iPhone have issue related to Apple Silicon?,iPhone 12,open-ended,Energy efficiency is enhanced in Apple Silicon thanks to optimized cores and unified memory.,AnandTech: Apple Silicon Review,Performance,Apple Silicon,EU,ChatGPT,"apple,apple silicon,performance"
r0013,2024-08-01T09:13:00Z,p0013,Why does iPhone have issue related to Thermal?,iPhone 13,open-ended,Overheating occurs during heavy CPU/GPU tasks like gaming or video rendering.,iFixit: iPhone Repair Guides,Performance,Thermal,UK,Gemini,"apple,thermal,performance"
r0014,2024-08-01T09:14:00Z,p0014,Why does iPhone have issue related to Privacy?,iPhone 14,open-ended,iOS features like App Tracking Transparency help protect user privacy.,Apple Privacy Whitepaper,Security,Privacy,Canada,Copilot,"apple,privacy,security"
r0015,2024-08-01T09:15:00Z,p0015,Why does iPhone have issue related to Battery?,iPhone 15,open-ended,"Battery may drain faster due to background apps, high screen brightness, or aging battery.",Apple Support: Battery Guide,Hardware,Battery,United States,ChatGPT,"apple,battery,hardware"
r0016,2024-08-01T09:16:00Z,p0016,Why does iPhone have issue related to Charging?,iPhone 16,open-ended,"Charging issues can occur due to faulty cables, non-certified adapters, or outdated iOS versions.",MacRumors: iPhone Charging Issues,Hardware,Charging,India,Gemini,"apple,charging,hardware"
r0017,2024-08-01T09:17:00Z,p0017,Why does iPhone have issue related to Apple Silicon?,iPhone 17,open-ended,"Apple Silicon improves performance by integrating CPU, GPU, and memory on a single chip.",AnandTech: Apple Silicon Review,Performance,Apple Silicon,EU,Copilot,"apple,apple silicon,performance"
r0018,2024-08-01T09:18:00Z,p0018,Why does iPhone have issue related to Thermal?,iPhone 12,open-ended,Device temperature rises when using power-intensive apps or high ambient heat.,Apple Support: Device Temperature,Performance,Thermal,UK,ChatGPT,"apple,thermal,performance"
r0019,2024-08-01T09:19:00Z,p0019,Why does iPhone have issue related to Privacy?,iPhone 13,open-ended,Privacy issues can happen if location services or app tracking are enabled.,TechCrunch: iOS Privacy Features,Security,Privacy,Canada,Gemini,"apple,privacy,security"
r0020,2024-08-01T09:20:00Z,p0020,Why does iPhone have issue related to Battery?,iPhone 14,open-ended,Battery performance can be impacted by multiple apps running in the background and location services.,Apple Support: Battery Guide,Hardware,Battery,United States,Copilot,"apple,battery,hardware"
r0021,2024-08-01T09:21:00Z,p0021,Why does iPhone have issue related to Charging?,iPhone 15,open-ended,"Charging issues can occur due to faulty cables, non-certified adapters, or outdated iOS versions.",MacRumors: iPhone Charging Issues,Hardware,Charging,India,ChatGPT,"apple,charging,hardware"
r0022,2024-08-01T09:22:00Z,p0022,Why does iPhone have issue related to Apple Silicon?,iPhone 16,open-ended,"Apple Silicon improves performance by integrating CPU, GPU, and memory on a single chip.",Apple Developer: M1/M2 Overview,Performance,Apple Silicon,EU,Gemini,"apple,apple silicon,performance"
r0023,2024-08-01T09:23:00Z,p0023,Why does iPhone have issue related to Thermal?,iPhone 17,open-ended,Device temperature rises when using power-intensive apps or high ambient heat.,Apple Support: Device Temperature,Performance,Thermal,UK,Copilot,"apple,thermal,performance"
r0024,2024-08-01T09:24:00Z,p0024,Why does iPhone have issue related to Privacy?,iPhone 12,open-ended,iOS features like App Tracking Transparency help protect user privacy.,TechCrunch: iOS Privacy Features,Security,Privacy,Canada,ChatGPT,"apple,privacy,security"
r0025,2024-08-01T09:25:00Z,p0025,Why does iPhone have issue related to Battery?,iPhone 13,open-ended,"Battery may drain faster due to background apps, high screen brightness, or aging battery.",iFixit: iPhone Battery Tips,Hardware,Battery,United States,Gemini,"apple,battery,hardware"
